Servicer ID,Entity
2000026387,"AFL Mortgage, LLC"
626462,"AFL Mortgage, LLC"
626561,"AFL Mortgage, LLC"
625722,"AFL Mortgage, LLC"
626529,"AFL Mortgage, LLC"
625777,"AFL Mortgage, LLC"
645575,"AFL Mortgage, LLC"
645597,"AFL Mortgage, LLC"
645681,"AFL Mortgage, LLC"
2000026303,"AFL Mortgage, LLC"
2000026315,"AFL Mortgage, LLC"
2000026318,"AFL Mortgage, LLC"
2000026319,"AFL Mortgage, LLC"
645805,"AFL Mortgage, LLC"
645816,"AFL Mortgage, LLC"
645829,"AFL Mortgage, LLC"
645874,"AFL Mortgage, LLC"
7000123488,"AFL Mortgage, LLC"
2000026329,"AFL Mortgage, LLC"
644897,"AFL Mortgage, LLC"
2000026341,"AFL Mortgage, LLC"
2000026346,"AFL Mortgage, LLC"
2000026372,"AFL Mortgage, LLC"
2000026380,"AFL Mortgage, LLC"
2000026381,"AFL Mortgage, LLC"
2000026382,"AFL Mortgage, LLC"
2000026396,"AFL Mortgage, LLC"
7000231979,"AFL Mortgage, LLC"
7000232067,"AFL Mortgage, LLC"
7000241369,"AFL Mortgage, LLC"
7000228610,"AFL Mortgage, LLC"
7000213501,"AFL Mortgage, LLC"
7000228608,"AFL Mortgage, LLC"
7000234099,"AFL Mortgage, LLC"
7000125471,"AFL Mortgage, LLC"
2000026310,"AFL Mortgage, LLC"
625533,"AFL Mortgage, LLC"
625661,"AFL Mortgage, LLC"
645407,"AFL Mortgage, LLC"
7000125422,"AFL Mortgage, LLC"
626480,"AFL Mortgage, LLC"
627281,"AFL Mortgage, LLC"
644251,"AFL Mortgage, LLC"
645463,"AFL Mortgage, LLC"
626967,"AFL Mortgage, LLC"
644048,"AFL Mortgage, LLC"
644312,"AFL Mortgage, LLC"
645001,"AFL Mortgage, LLC"
645056,"AFL Mortgage, LLC"
645186,"AFL Mortgage, LLC"
645250,"AFL Mortgage, LLC"
645296,"AFL Mortgage, LLC"
645311,"AFL Mortgage, LLC"
645355,"AFL Mortgage, LLC"
